Koordinatensystem : Lambert konform konisch
Rechtswert        : 4109500 Meter
Hochwert          : 2383500 Meter
Hoehenlage        : 546 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4109500 2383500  1  1  1  -4.5  952 174  3.3 3  2.8  95    0    0 210 -285  2
4109500 2383500  1  1  2  -5.6  952 145  2.9 2  2.6  97    0    0 202 -284  2
4109500 2383500  1  1  3  -6.7  952 125  2.5 1  2.5  99    0    0 194 -282  2
4109500 2383500  1  1  4  -7.3  951 122  2.3 0  2.4  98    0    0 185 -281  2
4109500 2383500  1  1  5  -7.7  949 122  2.3 0  2.3  98    0    0 176 -280  2
4109500 2383500  1  1  6  -8.2  949 111  1.8 0  2.2  98    0    0 175 -279  2
4109500 2383500  1  1  7  -7.8  948 120  2.5 1  2.2  98    0    0 180 -278  2
4109500 2383500  1  1  8  -7.1  948 115  1.8 2  2.2  95    0    0 195 -279  2
4109500 2383500  1  1  9  -7.1  948 108  1.7 3  2.2  94    6   15 209 -280  2
4109500 2383500  1  1 10  -5.3  947 121  2.5 5  2.3  91   34   58 228 -284  2
4109500 2383500  1  1 11  -3.3  947 112  1.8 5  2.5  84   86   96 242 -290  2
4109500 2383500  1  1 12  -2.0  947 119  1.9 4  2.6  78  155  106 241 -299  2
4109500 2383500  1  1 13   0.4  946  84  1.2 3  2.8  72  241   80 235 -306  2
4109500 2383500  1  1 14   1.0  945  85  1.9 4  2.8  66  118  114 236 -310  2
4109500 2383500  1  1 15   1.5  945  72  1.2 5  2.8  63   60   91 246 -312  2
4109500 2383500  1  1 16  -0.4  945 150  1.9 6  3.0  70    9   49 255 -313  2
4109500 2383500  1  1 17  -1.4  945 136  1.9 7  3.1  81    0   11 265 -314  2
4109500 2383500  1  1 18  -2.1  944 151  1.2 7  3.0  85    0    0 269 -314  2
4109500 2383500  1  1 19  -1.1  944 113  1.2 7  3.2  87    0    0 264 -314  2
4109500 2383500  1  1 20  -0.9  944 129  1.9 7  3.3  88    0    0 263 -315  2
4109500 2383500  1  1 21  -0.5  944 163  1.9 7  3.4  89    0    0 263 -315  2
4109500 2383500  1  1 22  -0.4  943 149  1.2 7  3.5  90    0    0 274 -315  2
4109500 2383500  1  1 23  -0.5  943  92  1.2 7  3.6  91    0    0 283 -317  2
4109500 2383500  1  1 24  -0.7  943 197  1.2 6  3.6  92    0    0 279 -319  2
4109500 2383500  1  2  1  -0.1  943 319  1.4 6  3.6  91    0    0 273 -318  2
4109500 2383500  1  2  2  -0.9  943 168  1.4 6  3.6  92    0    0 271 -317  2
4109500 2383500  1  2  3   1.2  943 170  2.0 7  3.8  93    0    0 280 -317  2
4109500 2383500  1  2  4   1.9  943 226  1.2 7  4.0  87    0    0 294 -319  2
4109500 2383500  1  2  5   2.7  944 176  1.2 7  3.9  81    0    0 297 -319  2
4109500 2383500  1  2  6   2.7  943 148  1.9 6  3.9  78    0    0 291 -319  2
4109500 2383500  1  2  7   3.5  942 162  2.9 6  3.8  75    0    0 284 -319  2
4109500 2383500  1  2  8   3.6  941 156  2.9 4  3.7  70    0    0 269 -320  2
4109500 2383500  1  2  9   3.0  940 132  2.2 5  3.7  72    0    6 264 -322  2
4109500 2383500  1  2 10   1.7  941 325  3.6 6  3.8  79   16   62 274 -324  2
4109500 2383500  1  2 11   2.1  942 309  2.3 5  4.0  84   56  107 270 -328  2
4109500 2383500  1  2 12   3.7  943 165  1.3 6  4.2  83   50  137 269 -333  2
4109500 2383500  1  2 13   5.3  943 189  1.8 8  4.6  83    6  121 298 -336  2
4109500 2383500  1  2 14   6.5  942 211  2.1 6  5.3  85    2  100 302 -338  2
4109500 2383500  1  2 15   7.0  943 220  2.8 7  5.5  84    0   67 296 -339  2
4109500 2383500  1  2 16   6.9  943 218  2.9 7  5.7  85    2   43 307 -337  2
4109500 2383500  1  2 17   6.3  943 213  2.9 7  5.9  90    0    4 309 -332  2
4109500 2383500  1  2 18   6.1  943 181  3.7 8  5.9  94    0    0 317 -328  2
4109500 2383500  1  2 19   6.0  943 187  3.6 7  5.8  93    0    0 315 -326  2
4109500 2383500  1  2 20   5.1  941 160  2.0 6  5.6  92    0    0 298 -326  2
4109500 2383500  1  2 21   3.8  941 191  1.9 6  5.4  95    0    0 288 -327  2
4109500 2383500  1  2 22   3.8  942  98  1.2 7  5.3  99    0    0 296 -327  2
4109500 2383500  1  2 23   4.2  942 111  1.1 8  5.4  99    0    0 310 -328  2
4109500 2383500  1  2 24   4.2  942 150  1.9 8  5.4  98    0    0 316 -329  2
4109500 2383500  1  3  1   4.2  942 210  2.4 7  5.4  97    0    0 310 -330  2
4109500 2383500  1  3  2   4.5  943 150  2.0 8  5.4  97    0    0 312 -329  2
4109500 2383500  1  3  3   4.8  942 171  2.6 8  5.6  98    0    0 319 -327  2
4109500 2383500  1  3  4   4.9  943 234  2.6 8  5.7  98    0    0 319 -326  2
4109500 2383500  1  3  5   5.3  943 216  2.7 8  5.8  98    0    0 317 -324  2
4109500 2383500  1  3  6   4.9  944 231  2.6 8  5.7  96    0    0 316 -322  2
4109500 2383500  1  3  7   4.8  944 227  2.9 8  5.6  98    0    0 315 -322  2
4109500 2383500  1  3  8   4.7  945 222  3.0 7  5.6  98    0    0 309 -322  2
4109500 2383500  1  3  9   4.6  945 221  3.0 7  5.5  97    0    4 301 -322  2
4109500 2383500  1  3 10   4.7  946 230  3.6 7  5.3  93    0   41 298 -323  2
4109500 2383500  1  3 11   5.9  946 240  4.4 3  5.1  86   73  106 274 -326  2
4109500 2383500  1  3 12   7.8  947 250  5.9 3  4.9  75  170  112 258 -330  2
4109500 2383500  1  3 13   8.2  948 250  6.5 5  4.7  66  120  138 275 -334  2
4109500 2383500  1  3 14   7.7  948 261  6.5 4  4.7  66   91  130 280 -336  2
